"filename", "language", "JSON", "CSS", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"d:\yonas web project\my-ecommerce\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"d:\yonas web project\my-ecommerce\package-lock.json", "JSON", 19832, 0, 0, 0, 0, 0, 1, 19833
"d:\yonas web project\my-ecommerce\package.json", "JSON", 39, 0, 0, 0, 0, 0, 1, 40
"d:\yonas web project\my-ecommerce\public\index.html", "HTML", 0, 0, 0, 20, 0, 23, 1, 44
"d:\yonas web project\my-ecommerce\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 1, 26
"d:\yonas web project\my-ecommerce\src\App.js", "JavaScript", 0, 0, 31, 0, 0, 1, 4, 36
"d:\yonas web project\my-ecommerce\src\context\CartContext.js", "JavaScript", 0, 0, 55, 0, 0, 2, 9, 66
"d:\yonas web project\my-ecommerce\src\context\UserContext.js", "JavaScript", 0, 0, 16, 0, 0, 0, 6, 22
"d:\yonas web project\my-ecommerce\src\data\products.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 26
"d:\yonas web project\my-ecommerce\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"d:\yonas web project\my-ecommerce\src\index.js", "JavaScript", 0, 0, 10, 0, 0, 3, 3, 16
"d:\yonas web project\my-ecommerce\src\pages\Checkout.js", "JavaScript", 0, 0, 36, 0, 0, 1, 5, 42
"d:\yonas web project\my-ecommerce\src\pages\Home.js", "JavaScript", 0, 0, 44, 0, 0, 0, 4, 48
"d:\yonas web project\my-ecommerce\src\pages\Login.js", "JavaScript", 0, 0, 28, 0, 0, 0, 5, 33
"d:\yonas web project\my-ecommerce\src\pages\OrderSummary.js", "JavaScript", 0, 0, 27, 0, 0, 0, 6, 33
"d:\yonas web project\my-ecommerce\src\pages\ProductDetail.js", "JavaScript", 0, 0, 19, 0, 0, 2, 5, 26
"d:\yonas web project\my-ecommerce\src\pages\Signup.js", "JavaScript", 0, 0, 28, 0, 0, 0, 5, 33
"d:\yonas web project\my-ecommerce\src\pages\cart.js", "JavaScript", 0, 0, 36, 0, 0, 1, 5, 42
"Total", "-", 19896, 0, 354, 20, 38, 33, 97, 20438
